Image_Number	PMCID	PMID	Title	Journal	Publication_Date	visually detect problem colors (Shades of red, green, and orange)	Contrasts mitigate problem	Labels mitigate problem	Distance mitigates problem	Conclusion (5 types listed in drop down)	Notes
689	PMC7971104	33711922	Improving high-resolution copy number variation analysis from next generation sequencing using unique molecular identifiers	BMC Bioinformatics	3/12/2021	FALSE				Definitely okay	
690	PMC6956311	31775276	The Property Characterization of &#x003b1;-Sialon/Ni Composites Synthesized by Spark Plasma Sintering	Nanomaterials	11/25/2019	FALSE				Definitely okay	
691	PMC9107176	35562794	Elucidating the role of the gut microbiota in the physiological effects of dietary fiber	Microbiome	5/13/2022	FALSE				Definitely okay	
692	PMC5067701	27812479	Progress and Challenges in Transfer of Large&#x02010;Area Graphene Films	Advanced Science	2/4/2016	TRUE	Y	N	N	Definitely okay	
693	PMC8862394	35189845	Relationships between social capital, patient empowerment, and self-management of patients undergoing hemodialysis: a cross-sectional study	BMC Nephrology	2/21/2022	FALSE				Gray-scale	
694	PMC8344215	34362306	Frequent tRNA gene translocation towards the boundaries with control regions contributes to the highly dynamic mitochondrial genome organization of the parasitic lice of mammals	BMC Genomics	8/6/2021	FALSE				Gray-scale	
695	PMC3827432	24236170	Linkage to HIV, TB and Non-Communicable Disease Care from a Mobile Testing Unit in Cape Town, South Africa	PLoS ONE	11/13/2013	FALSE				Gray-scale	
696	PMC5452244	28524104	Dietary Intake of Meat Cooking-Related Mutagens (HCAs) and Risk of Colorectal Adenoma and Cancer: A Systematic Review and Meta-Analysis	Nutrients	5/18/2017	FALSE				Gray-scale	
697	PMC6747345	31438467	CRB2 Loss in Rod Photoreceptors Is Associated with Progressive Loss of Retinal Contrast Sensitivity	International Journal of Molecular Sciences	8/21/2019	TRUE	Y	N	N	Definitely okay	
698	PMC4776276	26934958	Toll-like Receptor 9 Can be Activated by Endogenous Mitochondrial DNA to Induce Podocyte Apoptosis	Scientific Reports	3/3/2016	FALSE				Definitely okay	
699	PMC4812463	27069530	PD98059 Protects Brain against Cells Death Resulting from ROS/ERK Activation in a Cardiac Arrest Rat Model	Oxidative Medicine and Cellular Longevity	3/16/2016	FALSE				Gray-scale	
700	PMC4477218	26180581	Psychiatric Disorders and Polyphenols: Can They Be Helpful in Therapy?	Oxidative Medicine and Cellular Longevity	6/9/2015	FALSE				Gray-scale	
701	PMC9356411	35933391	Establishment of	Plant Methods	8/6/2022	TRUE	NA	NA	Y	Definitely okay	
702	PMC3894964	24465561	Does Competition Work as a Motivating Factor in E-Learning? A Randomized Controlled Trial	PLoS ONE	1/17/2014	FALSE				Definitely okay	
703	PMC4182805	25271429	Acoustic Divergence with Gene Flow in a Lekking Hummingbird with Complex Songs	PLoS ONE	10/1/2014	TRUE	Y	N	Y	Definitely okay	
704	PMC8836838	35160736	The Effect of Temperature, Rest Periods and Ageing on the Response of Bituminous Materials in Fatigue Tests: Considerations and Proposals on Analytical Dimensioning Models	Materials	1/21/2022	TRUE	Y	N	Y	Definitely okay	
705	PMC3676358	23762449	Toll Like Receptor 3 Plays a Critical Role in the Progression and Severity of Acetaminophen-Induced Hepatotoxicity	PLoS ONE	6/7/2013	FALSE				Gray-scale	
706	PMC6720574	31395796	Low-Noise Mid-Infrared Photodetection in BP/h-BN/Graphene van der Waals Heterojunctions	Materials	8/9/2019	TRUE	Y	N	N	Definitely okay	
707	PMC3312272	22506113	Aging Phenotypes of Common Marmosets ()	Journal of Aging Research	3/4/2012	TRUE	N	Y	Y	Definitely okay	
708	PMC7198857	32410998	Paeoniflorin Resists H Pathway	Frontiers in Pharmacology	4/28/2020	FALSE				Definitely okay	
709	PMC7311488	32576830	Piezo2 expressed in proprioceptive neurons is essential for skeletal integrity	Nature Communications	6/23/2020	TRUE	Y	Y	Y	Definitely okay	
710	PMC7102949	32052020	2&#x02032;-Alkynyl spin-labelling is a minimally perturbing tool for DNA structural analysis	Nucleic Acids Research	4/6/2020	TRUE	Y	Y	Y	Definitely okay	
711	PMC9414530	36015720	Detection of a New Large Free Core Nutation Phase Jump	Sensors (Basel, Switzerland)	8/9/2022	FALSE				Gray-scale	
712	PMC9005712	35413948	mosquitoes reveal new principles of 3D genome organization in insects	Nature Communications	4/12/2022	TRUE	Y	Y	Y	Definitely okay	
713	PMC9740653	36498169	The Impact of COVID-19 on the Health-Related Behaviours, Mental Well-Being, and Academic Engagement of a Cohort of Undergraduate Students in an Irish University Setting	International Journal of Environmental Research and Public Health	12/1/2022	FALSE				Gray-scale	
714	PMC6397715	30392141	Cumulative inhibition in neural networks	Cognitive Processing	11/3/2019	FALSE				Gray-scale	
715	PMC3476974	22871104	Effects of sildenafil and/or muscle derived stem cells on myocardial infarction	Journal of Translational Medicine	8/7/2012	FALSE				Definitely okay	
716	PMC8744021	35012464	SARS-CoV-2 antibody seroprevalence in Lebanon: findings from the first nationwide serosurvey	BMC Infectious Diseases	1/10/2022	FALSE				Definitely okay	
717	PMC7242899	32259483	Cohesin Causes Replicative DNA Damage by Trapping DNA Topological Stress	Molecular Cell	5/21/2020	TRUE	Y	N	Y	Definitely okay	
718	PMC8036696	33806149	An Antifungal Chitosanase from SH21	Molecules	3/25/2021	FALSE				Definitely okay	
719	PMC7441419	32850148	Does the Frequency of Watching Television Matters on Overweight and Obesity among Reproductive Age Women in Ethiopia?	Journal of Obesity	8/1/2020	FALSE				Gray-scale	
720	PMC6297832	30618576	Protective Effect of Anthocyanin on Neurovascular Unit in Cerebral Ischemia/Reperfusion Injury in Rats	Frontiers in Neuroscience	12/11/2018	FALSE				Definitely okay	
721	PMC6785779	31611737	Fibroblast growth factor-10 and epithelial-mesenchymal transition in colorectal cancer	EXCLI Journal	7/17/2019	FALSE				Definitely okay	
722	PMC9361509	35941555	A scoping review of gestational diabetes mellitus healthcare: experiences of care reported by pregnant women internationally	BMC Pregnancy and Childbirth	8/8/2022	FALSE				Definitely okay	
723	PMC7760668	33261065	Identification of Dietary Phytochemicals Capable of Enhancing the Autophagy Flux in HeLa and Caco-2 Human Cell Lines	Antioxidants	11/27/2020	FALSE				Gray-scale	
724	PMC9406816	36010196	Network Analysis for Better Understanding the Complex Psycho-Biological Mechanisms behind Fibromyalgia Syndrome	Diagnostics	7/30/2022	FALSE				Gray-scale	
725	PMC4647593	26573572	Short-and long-term effects of ischemic postconditioning in STEMI patients: a meta-analysis	Lipids in Health and Disease	11/16/2015	FALSE				Gray-scale	
726	PMC9798529	36469087	The Adaptive Olfactory Measure of Threshold (ArOMa-T): a rapid test of olfactory function	Chemical Senses	12/5/2022	FALSE				Gray-scale	
727	PMC9371824	35966334	Grape Seed Proanthocyanidins Exert a Neuroprotective Effect by Regulating Microglial M1/M2 Polarisation in Rats with Spinal Cord Injury	Mediators of Inflammation	8/4/2022	TRUE	Y	N	N	Definitely okay	
728	PMC9218675	35757258	Extraction, Purification, Physicochemical Properties, and Activity of a New Polysaccharide From	Frontiers in Nutrition	6/9/2022	FALSE				Definitely okay	
729	PMC5689917	29125231	Navigating the medical physics education and training landscape	Journal of Applied Clinical Medical Physics	11/10/2017	TRUE	Y	N	N	Definitely okay	
730	PMC8329111	34027588	Novel Autosegmentation Spatial Similarity Metrics Capture the Time Required to Correct Segmentations Better Than Traditional Metrics in a Thoracic Cavity Segmentation Workflow	Journal of Digital Imaging	6/23/2021	FALSE				Definitely okay	
731	PMC6419981	30918627	Caucasian and south Asian men show equivalent improvements in surrogate biomarkers of cardiovascular and metabolic health following 6-weeks of supervised resistance training	F1000Research	3/5/2019	FALSE				Gray-scale	
732	PMC7472464	32973568	Microarray Analysis of lncRNA and mRNA Reveals Enhanced Lipolysis Along With Metabolic Remodeling in Mice Infected With Larval	Frontiers in Physiology	8/21/2020	FALSE				Gray-scale	
733	PMC6890927	31796563	Uncovering the Diversity and Activity of Methylotrophic Methanogens in Freshwater Wetland Soils	mSystems	12/3/2019	TRUE	Y	Y	Y	Definitely okay	
734	PMC7232449	32325973	Emergence of a Multidrug-Resistant	Microorganisms	4/20/2020	FALSE				Definitely okay	
735	PMC4530255	26273675	Healthy Chilean Adolescents with HOMA-IR 2.6 Have Increased Cardiometabolic Risk: Association with Genetic, Biological, and Environmental Factors	Journal of Diabetes Research	7/27/2015	FALSE				Gray-scale	
736	PMC7569836	32824030	Space-Time Patterns, Change, and Propagation of COVID-19 Risk Relative to the Intervention Scenarios in Bangladesh	International Journal of Environmental Research and Public Health	8/14/2020	FALSE				Definitely okay	
737	PMC6555755	31174613	Postoperative recurrence of clinical early-stage non-small cell lung cancers: a comparison between solid and subsolid nodules	Cancer Imaging	6/7/2019	FALSE				Gray-scale	
738	PMC4614888	26490709	Aberrant Autophagic Response in The Muscle of A Knock-in Mouse Model of Spinal and Bulbar Muscular Atrophy	Scientific Reports	10/22/2015	FALSE				Gray-scale	
739	PMC7988125	33758223	Palaeoproteomics confirm earliest domesticated sheep in southern Africa ca. 2000 BP	Scientific Reports	3/23/2021	FALSE				Definitely okay	
740	PMC4202199	25349761	Kawasaki Disease with Retropharyngeal Edema following a Blackfly Bite	Case Reports in Pediatrics	10/2/2014	TRUE	Y	N	Y	Definitely okay	
741	PMC3725545	23908652	Mucosal HSV-2 Specific CD8+ T-Cells Represent Containment of Prior Viral Shedding Rather than a Correlate of Future Protection	Frontiers in Immunology	7/29/2013	FALSE				Gray-scale	
742	PMC3679853	23706040	Is metabotropic glutamate receptor 5 upregulated in prefrontal cortex in fragile X syndrome?	Molecular Autism	5/24/2013	FALSE				Gray-scale	
743	PMC3926632	24445415	Manufacture of Radio Frequency Micromachined Switches with Annealing	Sensors (Basel, Switzerland)	1/17/2014	TRUE	Y	N	N	Definitely okay	
744	PMC8125911	34065060	Stabilization of Near Identical Hydrogen Bonded Octameric Water Clusters in Crystal Structures of Three Distinct Non-Charged Polyamide Macrocyclic Host Molecules	Molecules	5/9/2021	TRUE	Y	N	N	Definitely okay	
745	PMC5335832	28253846	Digging up the roots of an insular hotspot of genetic diversity: decoupled mito-nuclear histories in the evolution of the Corsican-Sardinian endemic lizard	BMC Evolutionary Biology	3/2/2017	FALSE				Definitely okay	
746	PMC9394820	35994447	Comparison of the performance of Aptima HIV-1 Quant Dx Assay with Abbott RealTime HIV Assay for viral load monitoring using plasma and Dried Blood Spots collected in Kenya	PLoS ONE	8/22/2022	FALSE				Definitely okay	
747	PMC8857872	35183166	Social and geographic inequalities in water, sanitation and hygiene access in 21 refugee camps and settlements in Bangladesh, Kenya, Uganda, South Sudan, and Zimbabwe	International Journal for Equity in Health	2/19/2022	FALSE				Gray-scale	
748	PMC8868006	35223458	Abemaciclib in Combination With Endocrine Therapy for Patients With Hormone Receptor-Positive, HER2-Negative Metastatic Breast Cancer: A Phase 1b Study	Frontiers in Oncology	2/10/2022	FALSE				Gray-scale	
749	PMC7426831	32792555	Land vs. water HIIE effects on muscle oxygenation and physiological parameter responses in postmenopausal women	Scientific Reports	8/13/2020	TRUE	Y	N	N	Definitely okay	
750	PMC8596576	34219359	Peripheral neuropathy after viral eradication with direct&#x02010;acting antivirals in chronic HCV hepatitis: A prospective study	Liver International	11/20/2021	FALSE				Gray-scale	
751	PMC9210611	35729511	Clinico-pathological characteristics of obstructing colorectal cancer and its management outcomes at a tertiary referral center of Eastern Nepal	BMC Gastroenterology	6/21/2022	FALSE				Definitely okay	
752	PMC5918515	29067558	Oral appliance treatment outcome can be predicted by continuous positive airway pressure in moderate to severe obstructive sleep apnea	Sleep &#x00026; Breathing = Schlaf &#x00026; Atmung	10/24/2018	FALSE				Definitely okay	
753	PMC4056624	23799905	Survival benefit of helicopter emergency medical services compared to ground emergency medical services in traumatized patients	Critical Care	6/21/2013	FALSE				Gray-scale	
754	PMC4823984	26787680	Desmin enters the nucleus of cardiac stem cells and modulates Nkx2.5 expression by participating in transcription factor complexes that interact with the gene	Biology Open	1/19/2016	TRUE	N	N	N	Definitely problematic	
755	PMC6803909	31547101	Electronic Modulation of THz Radiation at NovoFEL: Technical Aspects and Possible Applications	Materials	9/20/2019	TRUE	Y	Y	Y	Definitely okay	
756	PMC4633666	26537459	An integrative quantifier of multistability in complex systems based on ecological resilience	Scientific Reports	11/5/2015	FALSE				Definitely okay	
757	PMC4078995	25071510	Novel method to classify hemodynamic response obtained using multi-channel fNIRS measurements into two groups: exploring the combinations of channels	Frontiers in Human Neuroscience	7/2/2014	TRUE	N	N	N	Definitely problematic	Orange and green fade.
758	PMC6731729	31598242	Theoretical study on the toxicity of &#x02018;Novichok&#x02019; agent candidates	Royal Society Open Science	8/7/2019	FALSE				Gray-scale	
759	PMC6002370	29904095	An salivary lubrication system to mimic xerostomic conditions and to predict the lubricating properties of xerostomia relieving agents	Scientific Reports	6/14/2018	FALSE				Definitely okay	
760	PMC9513353	36176561	Characteristics of clinical details and endolymphatic hydrops in unilateral and bilateral M&#x000e9;ni&#x000e8;re's disease in a single Asian group	Frontiers in Neurology	9/13/2022	FALSE				Gray-scale	
761	PMC7014408	31940830	City-Wide Traffic Flow Forecasting Using a Deep Convolutional Neural Network	Sensors (Basel, Switzerland)	1/11/2020	TRUE	Y	N	N	Definitely okay	
762	PMC6514190	31133857	20()-Protopanaxadiol Inhibits Angiotensin II-Induced Epithelial- Mesenchymal Transition by Downregulating SIRT1	Frontiers in Pharmacology	5/7/2019	FALSE				Definitely okay	
763	PMC6720096	31477006	Analyzing the regulation of miRNAs on protein-protein interaction network in Hodgkin lymphoma	BMC Bioinformatics	9/2/2019	FALSE				Definitely okay	
764	PMC4381458	25884649	Apoptosis mediated leishmanicidal activity of	Parasites &#x00026; Vectors	3/26/2015	FALSE				Definitely okay	
765	PMC9293341	34536311	Clinical validation of p16/Ki&#x02010;67 dual&#x02010;stained cytology triage of trial	International Journal of Cancer	2/1/2022	FALSE				Gray-scale	
766	PMC4122442	25093842	The Use of Exome Genotyping to Predict Pathological Gleason Score Upgrade after Radical Prostatectomy in Low-Risk Prostate Cancer Patients	PLoS ONE	8/5/2014	FALSE				Definitely okay	
